web-scraper-order,web-scraper-start-url,select-brands,select-brands-href,aaaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaa-href,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size
"1689162731-1","https://www.chrono24.com/","Sinn","https://www.chrono24.com/sinn/index.htm","Sinn 556

Ref. 556.0115 Edelstahl Automatik 38,5 mm Box Papiere Neu



$2,810

+ $66 for shipping

 



DE","https://www.chrono24.com/sinn/sinn-sinn-556-ref-5560115-edelstahl-automatik-385-mm-box-papiere-neu--id25047151.htm","Sinn 556
Ref. 556.0115 Edelstahl Automatik 38,5 mm Box Papiere Neu","$2,810","Sinn","556","556.0115","Automatic","Steel","Leather","2022","New","Men's watch/Unisex",""
"1689162734-2","https://www.chrono24.com/","Sinn","https://www.chrono24.com/sinn/index.htm","Sinn 556

Ref. 556.0114 Edelstahl Automatik 38,5 mm Box Papiere Neu



$2,810

+ $66 for shipping





DE","https://www.chrono24.com/sinn/sinn-sinn-556-ref-5560114-edelstahl-automatik-385-mm-box-papiere-neu--id25047235.htm","Sinn 556
Ref. 556.0114 Edelstahl Automatik 38,5 mm Box Papiere Neu","$2,810","Sinn","556","556.0114","Automatic","Steel","Leather","2022","New","Men's watch/Unisex",""
"1689162736-3","https://www.chrono24.com/","Sinn","https://www.chrono24.com/sinn/index.htm","Sinn

Chronograph Calendar Moon Phase ""FERRARI CLUB DEUTSCHLAND"" Limited Edition NOS



$4,505

+ $225 for shipping





IT","https://www.chrono24.com/sinn/sinn-chronograph-calendar-moon-phase-ferrari-club-deutschland-limited-edition-nos--id29324416.htm","Sinn
Chronograph Calendar Moon Phase ""FERRARI CLUB DEUTSCHLAND"" Limited Edition NOS","$4,505","Sinn","","","","","","2009","Unworn","Men's watch/Unisex","38,5 mm"
"1689162739-4","https://www.chrono24.com/","Sinn","https://www.chrono24.com/sinn/index.htm","Sinn 556

Aquamarinblau 38,5mm Limitiert auf 400stk



$2,016

+ $66 for shipping





DE","https://www.chrono24.com/sinn/sinn-556-aquamarinblau-385mm-limitiert-auf-400stk--id26345063.htm","Sinn 556
Aquamarinblau 38,5mm Limitiert auf 400stk","$2,016","Sinn","556","556.0115","","","","2022","Good","Men's watch/Unisex","38,5 mm"
"1689162742-5","https://www.chrono24.com/","Sinn","https://www.chrono24.com/sinn/index.htm","Sinn 103

St Klassik C Limited Edition - 200 Pieces



$5,095

+ $62 for shipping





UK","https://www.chrono24.com/sinn/sinn-103-st-klassik-c-limited-edition---200-pieces--id29349903.htm","Sinn 103
St Klassik C Limited Edition - 200 Pieces","$5,095","Sinn","103","103.201","","","","2023","New","Men's watch/Unisex","41 mm"
"1689162743-6","https://www.chrono24.com/","Sinn","https://www.chrono24.com/sinn/index.htm","Sinn 157

EZM 4 Achilles 157



$5,625

+ $62 for shipping





UK","https://www.chrono24.com/sinn/sinn-ezm-4-achilles-157--id25140339.htm","Sinn 157
EZM 4 Achilles 157","$5,625","Sinn","157","","","","","2005","Very good","Men's watch/Unisex","40 x 42 mm"
"1689162746-7","https://www.chrono24.com/","Sinn","https://www.chrono24.com/sinn/index.htm","Sinn

EZM 1.1 S Limited Edition of 500 Pieces



$7,802

+ $62 for shipping





UK","https://www.chrono24.com/sinn/sinn-ezm-11-s-limited-edition-of-500-pieces--id27783790.htm","Sinn
EZM 1.1 S Limited Edition of 500 Pieces","$7,802","Sinn","","506.020","","","","2023","New","Men's watch/Unisex","43 mm"
"1689162748-8","https://www.chrono24.com/","Sinn","https://www.chrono24.com/sinn/index.htm","Sinn 103

St SA Panda Helmut Sinn Era



$3,830

+ $190 for shipping





DE","https://www.chrono24.com/sinn/sinn-103-st-sa-panda-helmut-sinn-era--id28037170.htm","Sinn 103
St SA Panda Helmut Sinn Era","$3,830","Sinn","103","","","","","1994","Very good","Men's watch/Unisex","41 mm"
"1689162750-9","https://www.chrono24.com/","Sinn","https://www.chrono24.com/sinn/index.htm","Sinn 142

Lemania 5100



$4,280

+ $190 for shipping





DE","https://www.chrono24.com/sinn/sinn-142-lemania-5100--id29519560.htm","Sinn 142
Lemania 5100","$4,280","Sinn","142","142","Automatic","Gold/Steel","Steel","2003","Unworn","Men's watch/Unisex","44 mm"
"1689162753-10","https://www.chrono24.com/","Sinn","https://www.chrono24.com/sinn/index.htm","Sinn 903

24 HD ST Navigationschronograph Lemania Vintage



$4,393

+ $190 for shipping





DE","https://www.chrono24.com/sinn/sinn-903-24-hd-st-navigationschronograph-lemania-vintage--id27791441.htm","Sinn 903
24 HD ST Navigationschronograph Lemania Vintage","$4,393","Sinn","903","903","","","","1995","Very good","Men's watch/Unisex","41 mm"
