web-scraper-order,web-scraper-start-url,select-brands,select-brands-href,aaaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaa-href,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size
"1689536997-1","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Polaris

DATE



Price on request

+ $131 for shipping





HK","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-polaris-date--id27257153.htm","Jaeger-LeCoultre Polaris
DATE","Price on request","Jaeger-LeCoultre","Polaris","Q906868J","","","","2023","Unworn","Men's watch/Unisex",""
"1689536999-2","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Master Ultra Thin Moon

1252520



$12,640

Free shipping





CN","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-master-ultra-thin-moon--id26597759.htm","Jaeger-LeCoultre Master Ultra Thin Moon
1252520","$12,640","Jaeger-LeCoultre","Master Ultra Thin Moon","1252520","","","","Unknown","Very good","Women's watch","34 mm"
"1689537002-3","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Rendez-Vous

Day Medium Automatic Blue Dial Rendez-vous Night



$14,165

+ $131 for shipping





HK","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-day-medium-automatic-blue-dial-rendez-vous-night--id27158525.htm","Jaeger-LeCoultre Rendez-Vous
Day Medium Automatic Blue Dial Rendez-vous Night","$14,165","Jaeger-LeCoultre","Rendez-Vous","Q3448480","","","","2022","Unworn","Women's watch","34 mm"
"1689537004-4","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Rendez-Vous

Calendario Perpetuo Perpetual



$21,545

+ $144 for shipping





CN","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-rendez-vous-calendario-perpetuo-perpetual--id28574674.htm","Jaeger-LeCoultre Rendez-Vous
Calendario Perpetuo Perpetual","$21,545","Jaeger-LeCoultre","Rendez-Vous","3492420","","","","Unknown","Very good","Men's watch/Unisex",""
"1689537007-5","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Rendez-Vous

Moon



$30,116

+ $131 for shipping





MO","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-rendez-vous-moon--id25155633.htm","Jaeger-LeCoultre Rendez-Vous
Moon","$30,116","Jaeger-LeCoultre","Rendez-Vous","Q3523490","","","","2018 (Approximation)","Very good","Women's watch","39 mm"
"1689537009-6","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Master Grande Tradition

Complication | Q5023580



Price on request

+ $698 for shipping





CH","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-master-grande-tradition-complication--q5023580--id16598181.htm","Jaeger-LeCoultre Master Grande Tradition
Complication | Q5023580","Price on request","Jaeger-LeCoultre","Master Grande Tradition","Q5023580","","","","2021","New","Men's watch/Unisex","44 mm"
"1689537011-7","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Reverso Classique

Classic Monoface



Price on request

+ $196 for shipping





US","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-reverso-classic-monoface--id24878458.htm","Jaeger-LeCoultre Reverso Classique
Classic Monoface","Price on request","Jaeger-LeCoultre","Reverso Classique","Q2548440","Manual winding","Steel","Crocodile skin","2023","Unworn","Men's watch/Unisex","40 x 24 mm"
"1689537013-8","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Reverso Duoface

Tribute Duoface



Price on request

+ $196 for shipping





US","https://www.chrono24.com/jaegerlecoultre/reverso-tribute-duoface--id24872320.htm","Jaeger-LeCoultre Reverso Duoface
Tribute Duoface","Price on request","Jaeger-LeCoultre","Reverso Duoface","Q3988482","Manual winding","Steel","Calf skin","2023","Unworn","Men's watch/Unisex","47 x 28.3 mm"
"1689537016-9","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Master Ultra Thin Tourbillion

40mm



Price on request

+ $196 for shipping





US","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-master-ultra-thin-tourbillon-40mm--id24879031.htm","Jaeger-LeCoultre Master Ultra Thin Tourbillion
40mm","Price on request","Jaeger-LeCoultre","Master Ultra Thin Tourbillion","Q1322410","Automatic","Rose gold","Crocodile skin","2023","Unworn","Men's watch/Unisex","40 mm"
"1689537018-10","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Duomètre

Chronograph 42mm



Price on request

+ $196 for shipping





US","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-duometre-chronograph-42mm--id24878723.htm","Jaeger-LeCoultre Duomètre
Chronograph 42mm","Price on request","Jaeger-LeCoultre","Duomètre","Q6012421","Manual winding","Rose gold","Crocodile skin","2023","Unworn","Men's watch/Unisex","42 mm"
"1689537021-11","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Master Ultra Thin Réserve de Marche

Power Reserve 39mm



Price on request

+ $196 for shipping





US","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-master-ultra-thin-power-reserve-39mm--id24879045.htm","Jaeger-LeCoultre Master Ultra Thin Réserve de Marche
Power Reserve 39mm","Price on request","Jaeger-LeCoultre","Master Ultra Thin Réserve de Marche","Q1372520","Automatic","Rose gold","Crocodile skin","2023","Unworn","Men's watch/Unisex","39 mm"
"1689537023-12","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Reverso Duoface

Tribute Duoface Calendar



Price on request

+ $196 for shipping





US","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-reverso-tribute-duoface-calendar--id25771260.htm","Jaeger-LeCoultre Reverso Duoface
Tribute Duoface Calendar","Price on request","Jaeger-LeCoultre","Reverso Duoface","Q3912530","Manual winding","Rose gold","Leather","2023","Unworn","Men's watch/Unisex","49.4 x 29.9 mm"
"1689537025-13","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Reverso

Tribute Monoface Small Seconds



Price on request

+ $196 for shipping





US","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-reverso-tribute-monoface-small-seconds--id24880630.htm","Jaeger-LeCoultre Reverso
Tribute Monoface Small Seconds","Price on request","Jaeger-LeCoultre","Reverso","Q3978430","Manual winding","Steel","Leather","2023","Unworn","Men's watch/Unisex","45.6 x 27.4 mm"
"1689537028-14","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Master Grande Tradition

42mm



Price on request

+ $196 for shipping





US","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-master-grande-tradition-42mm--id24880672.htm","Jaeger-LeCoultre Master Grande Tradition
42mm","Price on request","Jaeger-LeCoultre","Master Grande Tradition","","Automatic","Rose gold","Leather","2023","Unworn","Men's watch/Unisex","42 mm"
"1689537030-15","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Duomètre

Unique Travel Time 42mm



Price on request

+ $196 for shipping





US","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-duometre-unique-travel-time-42mm--id24880869.htm","Jaeger-LeCoultre Duomètre
Unique Travel Time 42mm","Price on request","Jaeger-LeCoultre","Duomètre","Q6062420","Manual winding","Rose gold","Crocodile skin","2023","Unworn","Men's watch/Unisex","42 mm"
"1689537032-16","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Polaris

Date 42mm



Price on request

+ $196 for shipping





US","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-polaris-date-42mm--id24879197.htm","Jaeger-LeCoultre Polaris
Date 42mm","Price on request","Jaeger-LeCoultre","Polaris","Q9068670","Automatic","Steel","Rubber","2023","Unworn","Men's watch/Unisex","42 mm"
"1689537035-17","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Reverso Duoface

Q2458420



Price on request

+ $196 for shipping





US","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-reverso-duoface--id24876045.htm","Jaeger-LeCoultre Reverso Duoface
Q2458420","Price on request","Jaeger-LeCoultre","Reverso Duoface","Q2458420","Manual winding","Steel","Crocodile skin","2023","Unworn","Men's watch/Unisex","42.9 x 25.5 mm"
"1689537037-18","https://www.chrono24.com/","Jaeger-LeCoultre","https://www.chrono24.com/jaegerlecoultre/index.htm","Jaeger-LeCoultre Reverso Classic Small

Large Small Seconds



Price on request

+ $196 for shipping





US","https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-reverso-classic-large-small-seconds--id24875152.htm","Jaeger-LeCoultre Reverso Classic Small
Large Small Seconds","Price on request","Jaeger-LeCoultre","Reverso Classic Small","Q3858520","Manual winding","Steel","Crocodile skin","2023","Unworn","Men's watch/Unisex","45.6 x 27.4 mm"
